Wavelength (nm),14k,11k,8k,5k,3k
347,0.481814207,0.422323985,0.403789067,0.478777605,0.333886202
348,0.481851841,0.422332773,0.403809352,0.479302835,0.335077142
349,0.481615,0.422368547,0.403037074,0.479415397,0.334524695
350,0.482962636,0.424843585,0.406083604,0.481927384,0.335885069
351,0.487390747,0.426595609,0.407484688,0.485986889,0.335194897
352,0.486986505,0.425971802,0.410305918,0.485658451,0.335506778
353,0.487481811,0.427531249,0.409651492,0.485641194,0.337749852
354,0.492774263,0.431772746,0.411148508,0.486971137,0.336890136
355,0.492909729,0.433307087,0.412390652,0.489424053,0.339913779
356,0.493178587,0.435663952,0.413467396,0.487829423,0.338448594
357,0.496505304,0.436722842,0.419534889,0.493241152,0.340768638
358,0.49981299,0.43991444,0.421254079,0.49561319,0.341936013
359,0.502582622,0.441170997,0.423678449,0.498146201,0.341891889
360,0.506410326,0.443383578,0.425702421,0.499122374,0.343825438
361,0.507594509,0.447014719,0.426924574,0.500922622,0.344231524
362,0.511289368,0.450725919,0.429740773,0.504664465,0.346053402
363,0.514144703,0.455720326,0.434523852,0.507875116,0.346937953
364,0.518639537,0.45714674,0.436989928,0.509738582,0.348706709
365,0.521104935,0.459017718,0.437995188,0.514962366,0.349415973
366,0.525084137,0.465748668,0.44217076,0.514878395,0.350891893
367,0.52983861,0.467941319,0.447226094,0.51822499,0.353219434
368,0.533756361,0.468562161,0.448320138,0.522484312,0.353931883
369,0.53313069,0.472972481,0.450757513,0.521242182,0.35373967
370,0.537209191,0.478503958,0.45473962,0.525987493,0.356303534
371,0.541698497,0.481660415,0.458390098,0.526709474,0.357099713
372,0.546416006,0.482395888,0.460327339,0.530890197,0.359845579
373,0.547386143,0.484792085,0.464566591,0.535959543,0.361612644
374,0.552364329,0.488399646,0.465983615,0.536650234,0.362346408
375,0.553755641,0.495159696,0.472089514,0.539406632,0.363307852
376,0.558420569,0.496377629,0.474587183,0.543121707,0.364324904
377,0.561666193,0.501705251,0.475135788,0.546385253,0.367050561
378,0.567137675,0.503294874,0.480802999,0.551549705,0.368588449
379,0.57137098,0.510381012,0.486757243,0.553490229,0.371775057
380,0.576470137,0.514384835,0.489912058,0.557830096,0.373491348
381,0.57576127,0.514785415,0.490574924,0.557821165,0.372680324
382,0.579270098,0.519056615,0.495785298,0.562307459,0.37565087
383,0.583179155,0.522609318,0.498475441,0.56604688,0.377194623
384,0.582781818,0.523333622,0.498712642,0.564946629,0.377103233
385,0.581195876,0.522042585,0.499313502,0.564027425,0.376506649
386,0.579783169,0.521745645,0.498419465,0.561853334,0.375422798
387,0.579705626,0.521170675,0.499210497,0.562385174,0.374839684
388,0.583344363,0.525290631,0.502930612,0.566317093,0.377406845
389,0.584567939,0.5267976,0.504006425,0.566502342,0.377702067
390,0.58190284,0.52447946,0.502910894,0.564561548,0.37699495
391,0.586814122,0.52926937,0.507852465,0.569808639,0.379515731
392,0.59109145,0.53430317,0.511116885,0.574147603,0.382178316
393,0.597471841,0.540149063,0.517727955,0.579756165,0.385680697
394,0.589444976,0.534322121,0.511957023,0.574373544,0.381306294
395,0.587641883,0.532936092,0.512067043,0.573564547,0.381493604
396,0.592291455,0.538113689,0.517430906,0.577712041,0.383577423
397,0.593659903,0.539378783,0.517865041,0.580883965,0.386260636
398,0.599226121,0.545247056,0.523557381,0.586261468,0.388894533
399,0.599831839,0.544851537,0.524854122,0.587296029,0.389558213
400,0.588576706,0.535075264,0.51664322,0.576488557,0.38354527
401,0.593167007,0.538096996,0.519320477,0.582563309,0.387285133
402,0.596716432,0.545382749,0.524189377,0.585826451,0.390758484
403,0.598871802,0.546607998,0.526807849,0.588402653,0.391246564
404,0.605430607,0.551073192,0.532207548,0.594340343,0.394647599
405,0.610830916,0.555271385,0.535404071,0.598894661,0.397690382
406,0.610853275,0.555287158,0.537389951,0.601406012,0.398450588
407,0.604384049,0.548713498,0.532418904,0.596337938,0.394987181
408,0.608548064,0.555852716,0.536885374,0.601123535,0.399078545
409,0.619063049,0.564142367,0.546311347,0.610394174,0.405045062
410,0.618003037,0.562780107,0.54526984,0.612049447,0.404663343
411,0.612622711,0.557782219,0.540584032,0.608724736,0.403049873
412,0.617207789,0.561540402,0.544478285,0.61070906,0.404341597
413,0.620191823,0.563484541,0.546865223,0.617956709,0.408550314
414,0.622935908,0.566917393,0.549600663,0.617547543,0.407904912
415,0.616296558,0.562869237,0.545452446,0.615636772,0.407094224
416,0.620329,0.564074274,0.55023208,0.617814227,0.410191621
417,0.621116937,0.567951781,0.5532321,0.622839748,0.413298331
418,0.623260356,0.567197838,0.553625067,0.621363602,0.411036446
419,0.625625064,0.569169281,0.555686547,0.626383452,0.413398892
420,0.628961542,0.572372197,0.556432699,0.629367218,0.414793577
421,0.629705333,0.574710456,0.56171666,0.633659067,0.418530494
422,0.63340725,0.577438711,0.56483785,0.639726655,0.420276043
423,0.623760033,0.570240127,0.55754191,0.631121044,0.41534512
424,0.622843232,0.567875466,0.554627823,0.628013717,0.415780625
425,0.629698083,0.573688727,0.561993833,0.635301829,0.420995315
426,0.626187831,0.572372372,0.561947797,0.635097482,0.419789903
427,0.630394926,0.57304046,0.56452771,0.636846482,0.421017459
428,0.635458423,0.580134883,0.571840431,0.647021201,0.424524656
429,0.633380654,0.577774548,0.569092843,0.643224818,0.423875396
430,0.645862747,0.59063802,0.579978477,0.655273625,0.432029956
431,0.641794553,0.584989936,0.57472735,0.648547388,0.428314344
432,0.624530998,0.571888246,0.562523647,0.634690158,0.420770092
433,0.631935305,0.577284526,0.571042303,0.643294152,0.426037605
434,0.651827679,0.594503193,0.588349631,0.665282728,0.436257155
435,0.638297651,0.586040201,0.577691842,0.652782844,0.430596486
436,0.63426064,0.583992215,0.575382642,0.648966053,0.429572401
437,0.646521283,0.593811247,0.585832006,0.663303827,0.434598495
438,0.641472046,0.590521919,0.585475091,0.661307557,0.433730032
439,0.646378405,0.593965145,0.589951526,0.664934157,0.436897138
440,0.643127976,0.59234845,0.588576366,0.662363782,0.436475727
441,0.64641653,0.595576606,0.592176041,0.667559515,0.439099354
442,0.652580988,0.600285303,0.595848891,0.675491928,0.442550884
443,0.638388071,0.588212952,0.586055553,0.660544354,0.4355542
444,0.643811646,0.59345597,0.591458542,0.666729993,0.439724105
445,0.638863444,0.589714696,0.58983205,0.664303843,0.43787476
446,0.638548506,0.590912327,0.591136111,0.664130528,0.438535376
447,0.642087532,0.594636205,0.595872789,0.671474967,0.442271116
448,0.637051548,0.590840629,0.59321945,0.66899631,0.442113835
449,0.638198946,0.592063717,0.595653155,0.672852039,0.44281899
450,0.639238515,0.594851199,0.598792125,0.675216804,0.444771223
451,0.63472508,0.590007642,0.596580974,0.673014071,0.444152515
452,0.633993003,0.589685899,0.597391871,0.673630212,0.445108236
